segment,per_mean,per_median,per_iqr,per_wmean,ts_percent_mean,ts_percent_median,ts_percent_iqr,ts_percent_wmean,obpm_mean,obpm_median,obpm_iqr,obpm_wmean,dbpm_mean,dbpm_median,dbpm_iqr,dbpm_wmean,usg_percent_mean,usg_percent_median,usg_percent_iqr,usg_percent_wmean
B|False,11.765079365079366,11.7,5.100000000000001,12.213685474189674,0.5164502164502164,0.52,0.09000000000000008,0.5221645614066329,-2.1884559884559884,-2.1,3.0,-1.8735736797137428,-0.37835497835497833,-0.5,1.6,-0.37637670998744543,17.527417027417027,17.4,5.099999999999998,17.795427993835393
B|True,11.123134328358208,10.7,5.449999999999999,11.608435894015335,0.5022139303482587,0.5,0.09000000000000002,0.5088563070531512,-2.317910447761194,-2.4,3.0,-2.0155640678698252,-0.17238805970149254,-0.2,1.5,-0.1911405865873878,16.79726368159204,16.35,5.774999999999999,17.237253254054465
R|False,13.051093155893536,12.9,4.199999999999999,13.309961493795704,0.5361264258555133,0.53,0.06999999999999995,0.5381915710667162,-1.1370722433460074,-1.2,2.3,-0.935109314125982,-0.15522813688212928,-0.2,1.4,-0.1485456689043445,18.143488593155894,17.9,5.199999999999999,18.353825325037604
R|True,12.906330472103003,12.7,4.4,13.184313467848815,0.5335085836909872,0.53,0.06999999999999995,0.5364156682683657,-0.890665236051502,-0.9,2.4,-0.6673115724353098,0.024785407725321888,0.0,1.5,0.012742248477111688,17.570815450643778,17.4,6.300000000000001,17.857698964047113
S|False,16.39279120879121,15.9,5.399999999999999,16.825327596191613,0.5478065934065934,0.55,0.04999999999999993,0.5498357683565185,0.7500219780219779,0.5,2.9000000000000004,1.0318379717490758,-0.07296703296703297,-0.2,1.6,-0.0279714431665244,21.584307692307693,21.3,7.100000000000001,21.920391494977455
S|True,16.593449197860963,16.05,5.800000000000001,17.133551855720622,0.549485294117647,0.55,0.05999999999999994,0.553172371734066,1.0649064171122995,0.8,3.0,1.3757889261512501,0.13643048128342244,0.1,1.6,0.2169398775215709,21.320989304812834,21.0,8.224999999999998,21.62916403765891
