season,abv,per_mean,per_wmean,ts_percent_mean,ts_percent_wmean,obpm_mean,obpm_wmean,dbpm_mean,dbpm_wmean,usg_percent_mean,usg_percent_wmean,a2t_perc_mean,a2t_perc_wmean,role_mp_total,role_gs_total,role_count,made_playoffs
2000,ATL,12.7,13.11550741163056,0.4875,0.4920885594830863,-1.85,-1.5368110984416572,-1.075,-0.9557962751805398,19.424999999999997,19.236259977194983,1.155,1.3129456480425692,5262.0,55.0,4,False
2000,BOS,13.76,13.279570066267983,0.534,0.5282398577662842,-0.76,-0.946953289154679,-0.8,-0.6796832067237755,17.2,16.823985776628415,1.3059999999999998,1.3431566187166641,6187.0,45.0,5,False
2000,CHH,14.275,14.778239608801956,0.5175,0.523366748166259,-1.2,-0.9425672371638143,0.175,0.35958435207823963,18.325,18.645721271393644,1.3900000000000001,1.4621442542787286,4090.0,14.0,4,True
2000,CHI,9.9,9.800280786201363,0.472,0.47020657841957475,-2.64,-2.63014440433213,-0.58,-0.6640994785399118,19.16,19.081468110709988,1.294,1.3118692338547935,4986.0,50.0,5,False
2000,CLE,12.080000000000002,12.687269701652205,0.518,0.5219743254487104,-1.16,-0.7284559610127184,-0.1,-0.07576369903720434,16.96,17.162094377748723,1.546,1.6890407702365386,8413.0,115.0,5,False
2000,DAL,13.625,14.02024936868687,0.5575,0.5580066287878788,-0.2000000000000001,0.10078914141414133,-1.1500000000000001,-1.4362215909090912,17.224999999999998,18.132070707070707,1.705,1.666802398989899,6336.0,68.0,4,False
2000,DEN,15.0,14.749567139436362,0.5525,0.5551059126911033,-0.25,-0.2180696260821514,-0.04999999999999998,-0.044483330263400234,19.200000000000003,18.42514275188801,1.245,1.263370786516854,5429.0,37.0,4,False
2000,DET,13.25,13.864907083221114,0.575,0.5769835712361971,-0.7500000000000001,-0.4260166980877998,-0.65,-0.6301642876380286,14.3,14.300000000000002,0.9199999999999999,0.880328575276057,3713.0,4.0,2,True
2000,GSW,14.3,14.022058823529411,0.51,0.5040441176470588,-0.8999999999999999,-0.9595588235294118,-0.2,-0.2595588235294118,19.049999999999997,19.27830882352941,1.37,1.461323529411765,2992.0,20.0,2,False
2000,HOU,14.328571428571427,14.181049622217685,0.5299999999999999,0.5295854604860118,-0.2285714285714285,-0.3906269144374106,-0.42857142857142855,-0.4829793751276292,18.357142857142858,18.92174800898509,1.5214285714285716,1.2930886256891976,9794.0,116.0,7,False
