season,abv,conference,division,w,l,games,win_pct,overall_rank,conf_rank,bench_mp,bench_players,bench_per_wmean,bench_per_mean,bench_ts_percent_wmean,bench_ts_percent_mean,bench_obpm_wmean,bench_obpm_mean,bench_dbpm_wmean,bench_dbpm_mean,bench_usg_percent_wmean,bench_usg_percent_mean,bench_a2t_perc_wmean,bench_a2t_perc_mean
2001,MIL,Eastern,Central,52,30,82,0.63,3.0,2.0,783.0,2,10.96896551724138,11.5,0.5182758620689655,0.505,-2.6379310344827585,-2.6,0.8206896551724138,1.2000000000000002,12.541379310344826,13.3,1.2886206896551724,1.575
2001,MIN,Western,Midwest,47,35,82,0.57,7.0,3.0,457.0,1,13.9,13.9,0.51,0.51,-0.3,-0.3,0.5,0.5,19.1,19.1,1.25,1.25
2001,NJN,Eastern,Atlantic,26,56,82,0.32,15.0,10.0,193.0,1,6.200000000000001,6.2,0.42,0.42,-6.9,-6.9,2.0,2.0,9.9,9.9,0.4,0.4
2001,NYK,Eastern,Atlantic,48,34,82,0.59,6.0,4.0,722.0,2,6.440581717451524,6.050000000000001,0.4116620498614959,0.41000000000000003,-5.192382271468143,-5.45,1.4746537396121884,1.35,16.807063711911358,16.35,0.8664542936288089,0.79
2001,PHI,Eastern,Atlantic,56,26,82,0.68,1.0,1.0,375.0,1,8.1,8.1,0.45,0.45,-2.3,-2.3,0.5,0.5,18.4,18.4,1.5,1.5
2001,POR,Western,Pacific,50,32,82,0.61,4.0,2.0,748.0,2,10.92620320855615,11.0,0.46653743315508023,0.46499999999999997,-1.8614973262032084,-1.7999999999999998,-0.6754010695187166,-0.7000000000000001,16.69157754010695,16.75,2.2726470588235297,2.32
2001,TOR,Eastern,Central,47,35,82,0.57,7.0,5.0,928.0,2,12.262284482758622,13.05,0.5148060344827586,0.5249999999999999,-2.652155172413793,-2.3000000000000003,0.2036637931034483,0.25,14.962931034482757,15.0,1.5767672413793103,1.46
2001,VAN,Western,Midwest,23,59,82,0.28,17.0,6.0,580.0,2,10.47603448275862,8.65,0.4105172413793104,0.39,-2.9844827586206897,-3.5999999999999996,0.9051724137931034,0.7,18.134999999999998,16.35,2.6474137931034485,2.75
2001,WAS,Eastern,Atlantic,19,63,82,0.23,18.0,12.0,591.0,2,10.047208121827412,9.5,0.4386802030456853,0.42500000000000004,-2.3649746192893404,-2.1500000000000004,-1.387309644670051,-1.7,18.239086294416246,18.200000000000003,1.6808121827411169,1.63
2002,ATL,Eastern,Central,33,49,82,0.4,14.0,9.0,422.0,1,13.4,13.4,0.53,0.53,-1.8,-1.8,-0.1,-0.1,16.8,16.8,0.5,0.5
2002,BOS,Eastern,Atlantic,49,33,82,0.6,5.0,3.0,626.0,1,15.399999999999999,15.4,0.59,0.59,0.8,0.8,-0.4,-0.4,20.8,20.8,0.94,0.94
2002,CHI,Eastern,Central,21,61,82,0.26,18.0,10.0,1134.0,2,13.687654320987654,13.9,0.5196913580246912,0.525,0.0876543209876542,0.29999999999999993,-1.4969135802469136,-1.5499999999999998,21.442416225749557,21.45,1.3472222222222223,1.395
2002,DAL,Western,Midwest,57,25,82,0.7,1.0,1.0,757.0,1,16.3,16.3,0.51,0.51,2.2,2.2,-1.5,-1.5,23.199999999999996,23.2,2.8,2.8
