division,corr,n
Central,0.6666322733291495,132
Atlantic,0.6158654926409488,128
Pacific,0.6024254288654716,128
Southeast,0.589976449589055,100
Southwest,0.5876605005439177,100
Northwest,0.5840668236116543,100
Midwest,0.5418818896532418,28
