season,team name,abv,conference,division
2005,Indiana Pacers,IND,Eastern,Central
2005,Los Angeles Clippers,LAC,Western,Pacific
2005,Los Angeles Lakers,LAL,Western,Pacific
2005,Memphis Grizzlies,MEM,Western,Southwest
2005,Miami Heat,MIA,Eastern,Southeast
2005,Milwaukee Bucks,MIL,Eastern,Central
2005,Minnesota Timberwolves,MIN,Western,Northwest
2005,New Jersey Nets,NJN,Eastern,Atlantic
2005,New Orleans/Oklahoma City Hornets,NOH,Western,Southwest
2005,New York Knicks,NYK,Eastern,Atlantic
2005,Orlando Magic,ORL,Eastern,Southeast
2005,Philadelphia 76ers,PHI,Eastern,Atlantic
2005,Phoenix Suns,PHO,Western,Pacific
2005,Portland Trail Blazers,POR,Western,Northwest
2005,Sacramento Kings,SAC,Western,Pacific
2005,San Antonio Spurs,SAS,Western,Southwest
2005,Seattle SuperSonics,SEA,Western,Northwest
2005,Toronto Raptors,TOR,Eastern,Atlantic
2005,Utah Jazz,UTA,Western,Northwest
2005,Washington Wizards,WAS,Eastern,Southeast
2006,Atlanta Hawks,ATL,Eastern,Southeast
2006,Boston Celtics,BOS,Eastern,Atlantic
2006,Charlotte Bobcats,CHA,Eastern,Southeast
2006,Chicago Bulls,CHI,Eastern,Central
2006,Cleveland Cavaliers,CLE,Eastern,Central
2006,Dallas Mavericks,DAL,Western,Southwest
2006,Denver Nuggets,DEN,Western,Northwest
2006,Detroit Pistons,DET,Eastern,Central
2006,Golden State Warriors,GSW,Western,Pacific
2006,Houston Rockets,HOU,Western,Southwest
2006,Indiana Pacers,IND,Eastern,Central
2006,Los Angeles Clippers,LAC,Western,Pacific
2006,Los Angeles Lakers,LAL,Western,Pacific
2006,Memphis Grizzlies,MEM,Western,Southwest
2006,Miami Heat,MIA,Eastern,Southeast
2006,Milwaukee Bucks,MIL,Eastern,Central
2006,Minnesota Timberwolves,MIN,Western,Northwest
2006,New Jersey Nets,NJN,Eastern,Atlantic
2006,New Orleans/Oklahoma City Hornets,NOK,Western,Southwest
2006,New York Knicks,NYK,Eastern,Atlantic
2006,Orlando Magic,ORL,Eastern,Southeast
2006,Philadelphia 76ers,PHI,Eastern,Atlantic
2006,Phoenix Suns,PHO,Western,Pacific
2006,Portland Trail Blazers,POR,Western,Northwest
2006,Sacramento Kings,SAC,Western,Pacific
2006,San Antonio Spurs,SAS,Western,Southwest
2006,Seattle SuperSonics,SEA,Western,Northwest
2006,Toronto Raptors,TOR,Eastern,Atlantic
2006,Utah Jazz,UTA,Western,Northwest
2006,Washington Wizards,WAS,Eastern,Southeast
2007,Atlanta Hawks,ATL,Eastern,Southeast
2007,Boston Celtics,BOS,Eastern,Atlantic
2007,Charlotte Bobcats,CHA,Eastern,Southeast
2007,Chicago Bulls,CHI,Eastern,Central
2007,Cleveland Cavaliers,CLE,Eastern,Central
2007,Dallas Mavericks,DAL,Western,Southwest
2007,Denver Nuggets,DEN,Western,Northwest
2007,Detroit Pistons,DET,Eastern,Central
2007,Golden State Warriors,GSW,Western,Pacific
2007,Houston Rockets,HOU,Western,Southwest
2007,Indiana Pacers,IND,Eastern,Central
2007,Los Angeles Clippers,LAC,Western,Pacific
2007,Los Angeles Lakers,LAL,Western,Pacific
2007,Memphis Grizzlies,MEM,Western,Southwest
2007,Miami Heat,MIA,Eastern,Southeast
2007,Milwaukee Bucks,MIL,Eastern,Central
2007,Minnesota Timberwolves,MIN,Western,Northwest
2007,New Jersey Nets,NJN,Eastern,Atlantic
2007,New Orleans Hornets,NOK,Western,Southwest
2007,New York Knicks,NYK,Eastern,Atlantic
2007,Orlando Magic,ORL,Eastern,Southeast
2007,Philadelphia 76ers,PHI,Eastern,Atlantic
2007,Phoenix Suns,PHO,Western,Pacific
2007,Portland Trail Blazers,POR,Western,Northwest
2007,Sacramento Kings,SAC,Western,Pacific
2007,San Antonio Spurs,SAS,Western,Southwest
2007,Seattle SuperSonics,SEA,Western,Northwest
2008,Seattle SuperSonics,SEA,Western,Northwest
2007,Toronto Raptors,TOR,Eastern,Atlantic
2007,Utah Jazz,UTA,Western,Northwest
2007,Washington Wizards,WAS,Eastern,Southeast
2008,Atlanta Hawks,ATL,Eastern,Southeast
2008,Boston Celtics,BOS,Eastern,Atlantic
2008,Charlotte Bobcats,CHA,Eastern,Southeast
2008,Chicago Bulls,CHI,Eastern,Central
2008,Cleveland Cavaliers,CLE,Eastern,Central
2008,Dallas Mavericks,DAL,Western,Southwest
2008,Denver Nuggets,DEN,Western,Northwest
2008,Detroit Pistons,DET,Eastern,Central
2008,Golden State Warriors,GSW,Western,Pacific
2008,Houston Rockets,HOU,Western,Southwest
2008,Indiana Pacers,IND,Eastern,Central
2008,Los Angeles Clippers,LAC,Western,Pacific
2008,Los Angeles Lakers,LAL,Western,Pacific
