season,abv,w,l,games,win_pct,conference,division
2019,CHI,22,60,82,0.27,Eastern,Central
2019,CHO,39,43,82,0.48,Eastern,Southeast
2019,CLE,19,63,82,0.23,Eastern,Central
2019,DAL,33,49,82,0.4,Western,Southwest
2019,DEN,54,28,82,0.66,Western,Northwest
2019,DET,41,41,82,0.5,Eastern,Central
2019,GSW,57,25,82,0.7,Western,Pacific
2019,HOU,53,29,82,0.65,Western,Southwest
2019,IND,48,34,82,0.59,Eastern,Central
2019,LAC,48,34,82,0.59,Western,Pacific
2019,LAL,37,45,82,0.45,Western,Pacific
2019,MEM,33,49,82,0.4,Western,Southwest
2019,MIA,39,43,82,0.48,Eastern,Southeast
2019,MIL,60,22,82,0.73,Eastern,Central
2019,MIN,36,46,82,0.44,Western,Northwest
2019,NOP,33,49,82,0.4,Western,Southwest
2019,NYK,17,65,82,0.21,Eastern,Atlantic
2019,OKC,49,33,82,0.6,Western,Northwest
2019,ORL,42,40,82,0.51,Eastern,Southeast
2019,PHI,51,31,82,0.62,Eastern,Atlantic
2019,PHO,19,63,82,0.23,Western,Pacific
2019,POR,53,29,82,0.65,Western,Northwest
2019,SAC,39,43,82,0.48,Western,Pacific
2019,SAS,48,34,82,0.59,Western,Southwest
2019,TOR,58,24,82,0.71,Eastern,Atlantic
2019,UTA,50,32,82,0.61,Western,Northwest
2019,WAS,32,50,82,0.39,Eastern,Southeast
2018,ATL,24,58,82,0.29,Eastern,Southeast
2018,BOS,55,27,82,0.67,Eastern,Atlantic
2018,BRK,28,54,82,0.34,Eastern,Atlantic
2018,CHI,27,55,82,0.33,Eastern,Central
2018,CHO,36,46,82,0.44,Eastern,Southeast
2018,CLE,50,32,82,0.61,Eastern,Central
2018,DAL,24,58,82,0.29,Western,Southwest
2018,DEN,46,36,82,0.56,Western,Northwest
2018,DET,39,43,82,0.48,Eastern,Central
2018,GSW,58,24,82,0.71,Western,Pacific
2018,HOU,65,17,82,0.79,Western,Southwest
2018,IND,48,34,82,0.59,Eastern,Central
2018,LAC,42,40,82,0.51,Western,Pacific
2018,LAL,35,47,82,0.43,Western,Pacific
2018,MEM,22,60,82,0.27,Western,Southwest
2018,MIA,44,38,82,0.54,Eastern,Southeast
2018,MIL,44,38,82,0.54,Eastern,Central
2018,MIN,47,35,82,0.57,Western,Northwest
2018,NOP,48,34,82,0.59,Western,Southwest
2018,NYK,29,53,82,0.35,Eastern,Atlantic
2018,OKC,48,34,82,0.59,Western,Northwest
2018,ORL,25,57,82,0.3,Eastern,Southeast
2018,PHI,52,30,82,0.63,Eastern,Atlantic
2018,PHO,21,61,82,0.26,Western,Pacific
2018,POR,49,33,82,0.6,Western,Northwest
2018,SAC,27,55,82,0.33,Western,Pacific
2018,SAS,47,35,82,0.57,Western,Southwest
2018,TOR,59,23,82,0.72,Eastern,Atlantic
2018,UTA,48,34,82,0.59,Western,Northwest
2018,WAS,43,39,82,0.52,Eastern,Southeast
2017,ATL,43,39,82,0.52,Eastern,Southeast
