season,player_id,abv,per,ts_percent,obpm,dbpm,usg_percent,gs,g,ast_per_game,tov_per_game,mp_per_game,w,l,playoffs,a2t_perc,team_win_perc,role,experience
2025,brownja02,BOS,17.8,0.56,0.4,-0.4,28.9,63.0,63,4.5,2.6,34.3,61,21,True,1.73,0.74,S,8
2025,brunsja01,NYK,21.6,0.6,4.7,-1.3,29.5,65.0,65,7.3,2.5,35.4,51,31,True,2.92,0.62,S,6
2025,bryanth01,IND,17.4,0.61,0.9,-0.2,17.6,8.0,56,0.9,0.5,15.1,50,32,True,1.8,0.61,R,7
2025,burksal01,MIA,12.8,0.61,0.0,0.3,16.5,14.0,49,1.1,0.6,17.6,37,45,True,1.83,0.45,R,13
2025,butleja02,PHI,14.5,0.54,-0.4,-1.7,22.2,17.0,28,4.9,1.8,24.4,24,58,False,2.72,0.29,B,3
2025,butleji01,MIA,22.8,0.64,4.2,0.6,21.1,25.0,25,4.8,1.2,30.6,37,45,True,4.0,0.45,S,13
2025,butleji01,GSW,22.2,0.62,3.8,1.2,20.6,30.0,30,5.9,1.5,32.7,48,34,True,3.93,0.59,S,13
2025,buzelma01,CHI,12.5,0.57,-2.0,-0.5,18.7,31.0,80,1.0,0.9,18.9,39,43,True,1.11,0.48,R,0
2025,caldwke01,ORL,9.9,0.57,-3.0,1.6,12.4,77.0,77,1.8,0.8,29.6,41,41,True,2.25,0.5,S,11
2025,camarto01,POR,12.5,0.57,-0.9,0.8,14.4,78.0,78,2.2,1.4,32.7,36,46,False,1.57,0.44,S,1
2025,carrica01,WAS,9.0,0.51,-3.3,-1.3,15.8,57.0,82,4.4,1.7,30.0,18,64,False,2.59,0.22,S,0
2025,cartewe01,ORL,13.7,0.54,-2.2,0.9,16.0,51.0,68,2.0,1.1,25.9,41,41,True,1.82,0.5,S,6
2025,carusal01,OKC,15.9,0.57,0.1,3.9,15.2,3.0,54,2.5,0.7,19.3,68,14,True,3.57,0.83,R,7
2025,castlst01,SAS,13.7,0.52,-1.5,-1.7,26.0,47.0,81,4.1,2.2,26.7,34,48,False,1.86,0.41,S,0
2025,champju02,SAS,12.2,0.58,-0.3,-0.9,17.2,29.0,82,1.4,0.9,23.6,34,48,False,1.56,0.41,R,2
2025,chrisma02,LAL,10.6,0.6,-1.8,0.0,13.9,25.0,46,1.4,0.8,25.1,50,32,True,1.75,0.61,S,2
2025,chrisma02,DAL,10.2,0.54,-2.4,-1.0,16.8,11.0,32,2.5,1.5,30.4,39,43,True,1.67,0.48,R,2
2025,clarkbr01,MEM,17.6,0.64,0.0,0.8,15.3,18.0,64,1.0,0.6,18.9,48,34,True,1.67,0.59,R,5
2025,clarkjo01,UTA,14.5,0.54,0.6,-2.1,27.8,9.0,37,3.7,2.3,26.0,17,65,False,1.61,0.21,R,10
2025,claxtni01,BRK,16.5,0.57,-1.1,1.5,16.8,62.0,70,2.2,1.2,26.9,26,56,False,1.83,0.32,S,5
2025,clownno01,BRK,9.2,0.52,-3.1,-1.0,19.0,20.0,46,0.9,1.0,22.7,26,56,False,0.9,0.32,R,1
2025,coffeam01,LAC,11.2,0.61,-1.5,-0.2,15.3,13.0,72,1.1,0.6,24.3,50,32,True,1.83,0.61,R,5
2025,colliis01,UTA,9.7,0.49,-3.8,-1.5,18.9,46.0,71,6.3,2.9,25.9,17,65,False,2.17,0.21,S,0
2025,collijo01,UTA,19.0,0.63,1.4,-0.4,24.2,31.0,40,2.0,2.6,30.5,17,65,False,0.77,0.21,S,7
2025,colliza01,CHI,17.2,0.64,-0.1,0.2,17.1,8.0,28,2.1,1.3,19.7,39,43,True,1.62,0.48,B,7
2025,conlemi01,MIN,13.3,0.57,-0.1,1.3,14.4,64.0,71,4.5,1.1,24.7,49,33,True,4.09,0.6,S,17
2025,coulibi01,WAS,10.8,0.52,-3.0,-0.7,17.9,59.0,59,3.4,2.1,33.0,18,64,False,1.62,0.22,S,1
2025,councri01,PHI,11.6,0.5,-2.0,-2.3,20.3,12.0,73,1.3,0.7,17.1,24,58,False,1.86,0.29,R,1
2025,craigto01,BOS,10.5,0.47,-3.4,0.7,12.3,3.0,17,0.7,0.5,11.8,61,21,True,1.4,0.74,B,7
2025,cunnica01,DET,20.6,0.56,3.8,0.1,33.2,70.0,70,9.1,4.4,35.0,44,38,True,2.07,0.54,S,3
2025,curryse01,CHO,12.2,0.62,-0.8,-0.9,15.7,14.0,68,0.9,0.5,15.6,19,63,False,1.8,0.23,R,11
2025,curryst01,GSW,21.5,0.62,6.4,0.0,29.8,70.0,70,6.0,2.9,32.2,48,34,True,2.07,0.59,S,15
2025,daniedy01,ATL,15.6,0.55,-1.1,2.6,18.2,76.0,76,4.4,2.0,33.8,40,42,True,2.2,0.49,S,2
2025,davisan02,LAL,27.1,0.6,4.5,1.5,30.2,42.0,42,3.4,2.2,34.3,50,32,True,1.55,0.61,S,12
2025,davisan02,DAL,21.7,0.52,1.2,1.3,31.2,9.0,9,4.4,2.2,29.6,39,43,True,2.0,0.48,S,12
2025,derozde01,SAC,17.7,0.57,1.2,-1.2,25.0,77.0,77,4.4,1.4,35.9,40,42,True,3.14,0.49,S,15
2025,diabamo01,CHO,16.5,0.61,-1.4,-0.4,13.4,8.0,71,0.8,0.9,17.5,19,63,False,0.89,0.23,R,2
2025,dickgr01,TOR,10.9,0.54,-1.9,-1.3,21.0,54.0,54,1.8,1.5,29.4,30,52,False,1.2,0.37,S,1
2025,dinwisp01,DAL,13.0,0.55,-0.9,-0.7,17.9,30.0,79,4.4,1.3,27.0,39,43,True,3.38,0.48,R,10
2025,divindo01,MIN,14.1,0.58,0.8,1.1,19.4,10.0,62,3.6,1.6,25.9,49,33,True,2.25,0.6,R,6
2025,doncilu01,DAL,24.2,0.58,5.5,1.4,33.1,22.0,22,7.8,3.4,35.7,39,43,True,2.29,0.48,S,6
2025,doncilu01,LAL,23.9,0.59,5.5,1.1,34.5,28.0,28,7.5,3.7,35.1,50,32,True,2.03,0.61,S,6
2025,dortlu01,OKC,11.3,0.59,-0.6,0.8,13.6,71.0,71,1.6,0.7,29.2,68,14,True,2.29,0.83,S,5
2025,dosunay01,CHI,12.8,0.58,-1.4,-0.2,16.6,26.0,46,4.5,1.5,30.3,39,43,True,3.0,0.48,S,3
2025,dowtije01,PHI,16.1,0.57,0.7,-0.5,18.6,3.0,41,1.9,0.4,15.1,24,58,False,4.75,0.29,R,3
2025,duranke01,PHO,21.2,0.64,3.9,-0.7,28.7,62.0,62,4.2,3.1,36.5,36,46,False,1.35,0.44,S,17
2025,durenja01,DET,21.4,0.7,1.6,1.5,16.4,78.0,78,2.7,1.7,26.1,44,38,True,1.59,0.54,S,2
2025,easonta01,HOU,18.5,0.57,1.0,2.6,19.4,16.0,57,1.5,1.1,24.9,52,30,True,1.36,0.63,R,2
2025,edwaran01,MIN,20.1,0.6,4.4,0.0,31.4,79.0,79,4.5,3.2,36.3,49,33,True,1.41,0.6,S,4
2025,edwarju01,PHI,11.3,0.56,-2.1,-1.6,16.9,26.0,44,1.6,1.1,26.3,24,58,False,1.45,0.29,S,0
2025,edwarke02,DAL,11.3,0.6,-2.0,0.6,11.1,18.0,40,1.1,0.4,15.2,39,43,True,2.75,0.48,R,3
2025,elliske01,SAC,13.5,0.66,-0.1,2.0,12.7,28.0,80,1.5,0.9,24.4,40,42,True,1.67,0.49,R,2
2025,embiijo01,PHI,23.4,0.58,3.7,-0.3,34.2,19.0,19,4.5,3.3,30.2,24,58,False,1.36,0.29,S,8
2025,eubandr01,UTA,15.9,0.63,-0.9,0.9,14.8,4.0,37,1.2,0.8,15.4,17,65,False,1.5,0.21,R,6
2025,evbuoto01,BRK,11.6,0.53,-3.0,-0.3,19.1,0.0,28,2.0,1.4,23.8,26,56,False,1.43,0.32,B,1
2025,exumda01,DAL,13.6,0.59,-1.2,-1.1,19.6,13.0,20,2.8,1.1,18.6,39,43,True,2.55,0.48,B,10
2025,filipky01,UTA,14.9,0.59,-0.6,-0.3,18.7,27.0,72,1.9,1.4,21.1,17,65,False,1.36,0.21,R,0
